Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-13154.9	-13083.2	-71.6782	0.260421	0.289073	0.262817	0.332675	0.197844	0.214569	0.0366459	0.171515	0.629396	0.206392	0.204679	0.261841	0.149967	0.312458	0.33811	0.278248	0.418103	0.357341	0.354558	0.429583	0.217128	0.0931774	0.447897	0.170439	0.0307297	0.0745275	0.0588251	0.123085	0.0308029	0.272171	0.1568	0.0276631	0.00558669	0.324883	0.0994566	0.128668	0.103806	0.235346	0.346774	0.111912	0.195208	0.11158	0.0659622	0.1996	0.0208655	0.477963	0.0330955	0.0329771	0.396518	0.038581	0.00263345	0.0743126	0.522954	3.4001	0.35734	0.3643	0.0560793	0.22228	9.07784
10	-13150.3	-13081.6	-68.7018	0.269902	0.283714	0.33228	0.329728	0.169429	0.172107	0.0403567	0.168476	0.608845	0.154359	0.197989	0.255991	0.095723	0.270163	0.43463	0.326671	0.436559	0.254171	0.319486	0.318868	0.201223	0.152908	0.445847	0.202286	0.050963	0.0351859	0.105762	0.073599	0.0637157	0.193304	0.146951	0.0352639	0.0627491	0.28095	0.10576	0.128668	0.132207	0.252882	0.295166	0.135218	0.15712	0.0863674	0.0860147	0.180362	0.0202826	0.462793	0.0289208	0.029529	0.386411	0.0720633	0.0031718	0.0813933	0.541621	3.37381	0.355548	0.362473	0.0608148	0.221165	8.78002
20	-13149.6	-13088.7	-60.9248	0.284224	0.239418	0.293384	0.29126	0.140419	0.226226	0.0591	0.154718	0.407055	0.133276	0.208554	0.203371	0.112914	0.271961	0.303657	0.247731	0.353519	0.316533	0.319486	0.319804	0.120966	0.10541	0.550246	0.147684	0.0667726	0.0890723	0.0837777	0.107016	0.0253354	0.184433	0.135959	0.0749586	0.0875337	0.241045	0.0705954	0.0588549	0.106483	0.334172	0.243975	0.0925916	0.104736	0.0863674	0.0915351	0.190129	0.0216332	0.439899	0.0286732	0.0242146	0.397298	0.0882825	0.00410307	0.0922935	0.568333	3.33527	0.353583	0.365511	0.0578867	0.223019	8.00203
30	-13156	-13098.6	-57.4146	0.267869	0.239418	0.28177	0.185321	0.137981	0.184392	0.038695	0.127312	0.410914	0.123895	0.138328	0.255035	0.112665	0.228666	0.398136	0.250792	0.375929	0.316533	0.298082	0.297338	0.163512	0.0545301	0.369587	0.157	0.0317294	0.0967394	0.0169837	0.040529	0.0473613	0.193675	0.142056	0.0953777	0.100609	0.234508	0.081038	0.0660518	0.110142	0.260076	0.250148	0.109273	0.135188	0.0809359	0.114179	0.298903	0.0181222	0.525583	0.0353344	0.0323602	0.339924	0.0486764	0.00305119	0.079865	0.537686	3.3794	0.36364	0.352074	0.0595331	0.224753	7.65133
40	-13150.4	-13109.2	-41.2163	0.266707	0.172466	0.250397	0.205215	0.156139	0.164402	0.0473406	0.107469	0.353684	0.108839	0.119475	0.174258	0.0980888	0.173343	0.283953	0.212127	0.262742	0.196646	0.200436	0.189402	0.1528	0.101319	0.328843	0.195172	0.0276828	0.0983455	0.018672	0.043153	0.0421687	0.16702	0.0931346	0.0232166	0.0361261	0.188978	0.0627265	0.065538	0.118832	0.132148	0.210314	0.0518618	0.120761	0.0265622	0.0792166	0.170514	0.0172225	0.499491	0.0406663	0.0296636	0.340039	0.0729175	0.00298349	0.0789933	0.535419	3.3826	0.368477	0.366545	0.0591014	0.205876	6.03153
50	-13148.8	-13098	-50.7343	0.293312	0.190431	0.160311	0.272563	0.160876	0.221227	0.087195	0.130927	0.336906	0.0859153	0.202435	0.271983	0.098151	0.192962	0.283953	0.227463	0.318163	0.271898	0.268812	0.272591	0.118833	0.0895173	0.402657	0.133692	0.00740901	0.0472246	0.0476573	0.104147	0.0299637	0.142543	0.120006	0.0859374	0.0796284	0.154465	0.0785454	0.04253	0.101559	0.270246	0.286163	0.092283	0.102072	0.119551	0.100886	0.170514	0.0243472	0.416476	0.0469566	0.041528	0.41062	0.0600721	0.00476849	0.0993032	0.584398	3.31153	0.347355	0.373859	0.0627882	0.215997	6.98279
60	-13156.3	-13107.7	-48.6508	0.297533	0.187852	0.258896	0.242558	0.106634	0.113763	0.0513267	0.0721074	0.318361	0.150389	0.214826	0.178811	0.0724897	0.267264	0.241063	0.227463	0.342681	0.289064	0.181375	0.292547	0.174968	0.156227	0.363375	0.158079	0.0244251	0.0311538	0.0633296	0.0383778	0.00645549	0.213206	0.128656	0.0581394	0.0408786	0.217885	0.106246	0.0212479	0.115153	0.139803	0.304408	0.0864172	0.140449	0.0963379	0.0759742	0.203698	0.0281644	0.41276	0.0465376	0.036928	0.411603	0.0640069	0.00509733	0.102577	0.591636	3.30069	0.347355	0.373859	0.0627882	0.215997	6.77436
70	-13143.6	-13097.5	-46.0219	0.300192	0.217555	0.253793	0.255319	0.185922	0.136167	0.0624057	0.108857	0.368499	0.0987504	0.164588	0.184075	0.0979114	0.203804	0.271642	0.229267	0.319414	0.216682	0.231118	0.263397	0.126374	0.140656	0.335524	0.133567	0.0557828	0.0720125	0.0617746	0.0227973	0.0187296	0.221755	0.0782037	0.0553402	0.0166606	0.13992	0.0537006	0.0745553	0.0591776	0.218956	0.149436	0.0600056	0.161106	0.0942745	0.0690013	0.22294	0.0244528	0.476855	0.0404047	0.0320615	0.357361	0.0688649	0.0053109	0.104645	0.596125	3.29392	0.346287	0.376149	0.0623178	0.215246	6.51142
80	-13143.2	-13091.4	-51.8511	0.301616	0.198091	0.218195	0.277467	0.127051	0.198888	0.073102	0.097894	0.432987	0.10404	0.180133	0.226227	0.115806	0.20291	0.28663	0.22243	0.3812	0.246095	0.34837	0.242908	0.175736	0.118159	0.35885	0.138189	0.00853847	0.0604295	0.0781044	0.0996555	0.0291413	0.196036	0.0906341	0.0450331	0.0462866	0.230561	0.0508738	0.113565	0.0765731	0.238262	0.194401	0.0845449	0.102193	0.0901169	0.108258	0.179744	0.0245495	0.458021	0.0426756	0.0328453	0.374203	0.0677053	0.00542733	0.105753	0.598507	3.29031	0.332473	0.374429	0.05749	0.235608	7.09431
90	-13149.1	-13097.5	-51.5342	0.283905	0.196576	0.201826	0.293444	0.162647	0.179705	0.10034	0.101928	0.39131	0.0892448	0.195843	0.273131	0.108373	0.268816	0.24834	0.22051	0.283063	0.217671	0.298363	0.32314	0.185031	0.0796212	0.338875	0.138542	0.0407366	0.116784	0.0274964	0.0996555	0.0292082	0.179011	0.148409	0.0281869	0.0866199	0.199704	0.0719307	0.0766048	0.0920841	0.191567	0.246643	0.0698081	0.17337	0.0492483	0.0444247	0.19515	0.0226562	0.466995	0.0386079	0.0211744	0.381535	0.0690319	0.00408075	0.0920483	0.567757	3.33611	0.346203	0.379093	0.0582062	0.216498	7.06298
100	-13142.6	-13095.5	-47.0939	0.285899	0.202042	0.180069	0.29974	0.133517	0.171599	0.0345706	0.0974022	0.418978	0.121049	0.145055	0.231341	0.114768	0.198375	0.282409	0.252481	0.308845	0.242971	0.242423	0.288343	0.153337	0.101531	0.36864	0.103724	0.0181367	0.0491792	0.0483076	0.0514481	0.0126471	0.198852	0.0814357	0.0393577	0.0209351	0.199704	0.0428942	0.0630239	0.0669735	0.215118	0.23202	0.0606878	0.128185	0.0812879	0.0444368	0.271065	0.0214803	0.475627	0.036604	0.0391074	0.361732	0.0654489	0.00422133	0.0935806	0.571344	3.33085	0.341763	0.382999	0.0615159	0.213722	6.6189
110	-13148.3	-13091.4	-56.963	0.285918	0.202042	0.281089	0.245175	0.141925	0.218606	0.0676823	0.113603	0.500488	0.124194	0.221057	0.3247	0.0866477	0.253131	0.340824	0.266094	0.358278	0.265287	0.326014	0.266532	0.180031	0.0882196	0.439681	0.122194	0.0197113	0.0742074	0.0431848	0.0873701	0.0327578	0.149593	0.102918	0.0259513	0.0485262	0.173257	0.0568489	0.101113	0.101349	0.255543	0.325936	0.0668452	0.128185	0.0626853	0.13312	0.183224	0.0211347	0.467975	0.0360151	0.0417303	0.375755	0.0573905	0.0042227	0.0935954	0.571378	3.3308	0.339671	0.387069	0.0605782	0.212681	7.60582
120	-13151.4	-13092.6	-58.7658	0.268832	0.263245	0.210389	0.299831	0.165232	0.209731	0.0219567	0.125239	0.422328	0.107421	0.184764	0.265431	0.152199	0.22498	0.369087	0.201256	0.304775	0.314493	0.30901	0.278353	0.178068	0.126991	0.403669	0.152814	0.00526322	0.0991031	0.0281078	0.0798691	0.0161404	0.25586	0.147769	0.00467778	0.0315244	0.366963	0.071234	0.0534377	0.115319	0.282617	0.265188	0.100014	0.160748	0.125653	0.128137	0.157554	0.0226463	0.469383	0.0314791	0.034775	0.376885	0.0648315	0.00310795	0.080588	0.539554	3.37675	0.33659	0.376052	0.0610512	0.226307	7.78644
